"county"	"party"	"votes"	"p"
"georgia,lamar"	"Republican"	4873	3.76513366618568e-05
"georgia,lanier"	"Republican"	1787	1.38072929642393e-05
"georgia,laurens"	"Republican"	12052	9.31200306687251e-05
"georgia,lee"	"Republican"	9925	7.66857205764269e-05
"georgia,liberty"	"Republican"	5828	4.50301641833165e-05
"georgia,lincoln"	"Republican"	2731	2.11011287550853e-05
"georgia,long"	"Republican"	2119	1.63724979245792e-05
"georgia,lowndes"	"Republican"	21269	0.000164335374402017
"georgia,lumpkin"	"Republican"	8326	6.43310135535849e-05
"georgia,macon"	"Republican"	1712	1.32278038918733e-05
"georgia,madison"	"Republican"	8226	6.3558361457097e-05
"georgia,marion"	"Republican"	1772	1.36913951497661e-05
"georgia,mcduffie"	"Republican"	5400	4.17232132103481e-05
"georgia,mcintosh"	"Republican"	3282	2.53584418067338e-05
"georgia,meriwether"	"Republican"	4982	3.84935274470286e-05
"georgia,miller"	"Republican"	1899	1.46726633123058e-05
"georgia,mitchell"	"Republican"	4201	3.24591145734579e-05
"georgia,monroe"	"Republican"	7933	6.12944908143874e-05
"georgia,montgomery"	"Republican"	2521	1.94785593524607e-05
"georgia,morgan"	"Republican"	5987	4.62586810167323e-05
"georgia,murray"	"Republican"	8180	6.32029414927125e-05
"georgia,muscogee"	"Republican"	29568	0.000228457771889551
"georgia,newton"	"Republican"	20337	0.00015713425686275
"georgia,oconee"	"Republican"	12120	9.3645434094337e-05
"georgia,oglethorpe"	"Republican"	4144	3.20187028784598e-05
"georgia,paulding"	"Republican"	39192	0.000302817809655549
"georgia,peach"	"Republican"	5173	3.99692929513205e-05
"georgia,pickens"	"Republican"	10004	7.72961157326524e-05
"georgia,pierce"	"Republican"	5500	4.24958653068361e-05
"georgia,pike"	"Republican"	6547	5.05855327570647e-05
"georgia,polk"	"Republican"	9850	7.6106231504061e-05
"georgia,pulaski"	"Republican"	2553	1.97258080233368e-05
"georgia,putnam"	"Republican"	5966	4.60964240764698e-05
"georgia,quitman"	"Republican"	509	3.93279917112356e-06
"georgia,rabun"	"Republican"	5487	4.23954205342926e-05
"georgia,randolph"	"Republican"	1370	1.05853337218846e-05
"georgia,richmond"	"Republican"	26842	0.00020739527573929
"georgia,rockdale"	"Republican"	16921	0.000130740461246722
"georgia,schley"	"Republican"	1252	9.67360424802886e-06
"georgia,screven"	"Republican"	3423	2.64478812627818e-05
